name,party,status,reason,profileUrl,currentImage,imageSource,imageSourceUrl,preferredSourceType,searchHints,checkedSources,candidatePageUrls,notes
"逢沢一郎","自由民主党・無所属の会","review","face_too_far","","https://upload.wikimedia.org/wikipedia/commons/4/46/Ichir%C5%8D_Aisawa_20230116_geta_zoutei.jpg","wikipedia","https://ja.wikipedia.org/wiki/%E9%80%A2%E6%B2%A2%E4%B8%80%E9%83%8E","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 逢沢一郎 | プロフィール | 顔写真","","",""
"東国幹","自由民主党・無所属の会","review","building_image","","https://upload.wikimedia.org/wikipedia/commons/3/33/Kuniyoshi_Azuma%2C_Parliamentary_Secretary_for_Finance.jpg","wikipedia","https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%9B%BD%E5%B9%B9","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 東国幹 | プロフィール | 顔写真","","",""
"阿部弘樹","自由民主党・無所属の会","review","face_too_far","","https://upload.wikimedia.org/wikipedia/commons/5/55/Hiroki_Abe_making_a_speech_in_front_of_Hakata_Station.jpg","wikipedia","https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E5%BC%98%E6%A8%B9","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 阿部弘樹 | プロフィール | 顔写真","","https://www.ntv.co.jp/election2024/research/candidate/400095/","Wikipediaの街頭演説写真を避け、顔が大きい候補者写真を固定使用。"
"安藤たかお","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 安藤たかお | プロフィール | 顔写真","","https://www.jimin.jp/election/results/sen_shu50/candidate/135980.html","読売で安定取得できないため、自民党の候補者ページ画像を固定使用。"
"上田英俊","自由民主党・無所属の会","review","building_image","","https://upload.wikimedia.org/wikipedia/commons/6/69/Eishun_Ueda%2C_Parliamentary_Vice-Minister_for_Land%2C_Infrastructure%2C_Transport_and_Tourism_2025.jpg","wikipedia","https://ja.wikipedia.org/wiki/%E4%B8%8A%E7%94%B0%E8%8B%B1%E4%BF%8A","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 上田英俊 | プロフィール | 顔写真","","",""
"尾崎正直","自由民主党・無所属の会","review","estimated_candidate","","https://www.jimin.jp/member/img/ozaki-masanao.jpg","web-fallback","https://www.jimin.jp/member/202157.html","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 尾崎正直 | プロフィール | 顔写真","","",""
"長田紘一郎","自由民主党・無所属の会","review","estimated_candidate","","https://www.jimin.jp/member/img/osada-koichiro.jpg","profile-page","https://www.jimin.jp/member/212434.html","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 長田紘一郎 | プロフィール | 顔写真","","",""
"小里泰弘","自由民主党・無所属の会","review","estimated_candidate","","https://www.jimin.jp/member/img/ozato-yasuhiro.jpg","profile-page","https://www.jimin.jp/member/100448.html","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 小里泰弘 | プロフィール | 顔写真","","",""
"小野寺五典","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 小野寺五典 | プロフィール | 顔写真","","",""
"尾身朝子","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 尾身朝子 | プロフィール | 顔写真","","",""
"勝目康","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 勝目康 | プロフィール | 顔写真","","",""
"菅家一郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 菅家一郎 | プロフィール | 顔写真","","",""
